,0
0,1988-08-04
1,1990-10-12
2,2003-04-20
3,1971-09-01
4,1988-08-23
5,1994-08-15
6,2002-08-04
7,1988-05-30
8,2003-09-13
9,2009-08-21
10,1978-06-22
11,1969-06-09
12,1976-06-11
13,1976-08-19
14,1966-06-09
15,1968-07-05
16,1987-11-04
17,1988-08-13
18,2007-12-13
19,1994-11-16
20,2003-09-06
21,1971-08-13
22,1981-08-17
23,1998-09-25
24,1968-09-26
25,1968-06-04
26,1998-11-05
27,2008-08-18
28,1987-08-14
29,1988-11-23
30,2010-09-29
31,1985-07-23
32,2017-07-31
33,1955-08-21
34,1986-06-26
35,1963-10-21
36,2011-10-28
37,2011-11-09
38,1997-07-19
39,2007-06-02
40,2002-09-14
41,1992-09-29
42,1971-10-13
43,1962-08-26
44,1964-08-27
45,1984-09-27
46,1973-09-25
47,1969-10-21
48,1994-07-03
49,1958-09-04
50,1985-11-21
51,2011-09-03
52,1972-06-19
53,1991-06-30
54,2004-08-12
55,2007-09-08
56,1952-02-03
57,1965-09-30
58,2000-09-22
59,2002-09-26
60,1950-09-05
61,1966-10-04
62,1970-05-25
63,1979-09-24
64,1960-09-23
65,2007-08-23
66,2009-08-16
67,1996-10-18
68,2012-10-25
69,2011-08-25
70,1951-05-18
71,1980-08-07
72,1979-09-03
73,1953-09-26
74,1968-10-19
75,2009-11-09
76,1999-08-29
77,2015-10-01
78,2008-09-02
79,2004-10-10
80,2004-09-16
81,1992-08-24
82,2000-09-09
83,1971-09-16
84,1996-09-02
85,1998-09-03
86,1951-10-02
87,1979-09-12
88,2007-10-31
89,1953-10-09
90,1952-08-30
91,1969-09-07
92,2015-08-30
93,1959-10-08
94,2002-07-13
95,1961-10-29
96,2007-05-09
97,2016-10-07
98,1964-09-20
99,1979-07-11
100,1950-10-18
101,2008-08-31
102,2012-08-25
103,1966-07-24
104,2010-08-10
105,2005-08-25
106,2003-06-30
107,1956-07-06
108,1974-09-08
109,1966-06-30
110,2016-09-14
111,1968-06-18
112,1982-09-11
113,1976-09-13
114,1975-07-29
115,2007-09-13
116,1970-09-27
117,1969-10-02
118,2010-08-31
119,1995-10-04
120,1969-08-29
121,1984-10-26
122,1973-09-03
123,1976-05-23
124,2001-11-05
125,2010-06-30
126,1985-10-10
127,1970-07-22
128,1972-05-28
129,1982-06-18
130,2001-08-06
131,1953-08-29
132,1965-09-08
133,1964-09-10
134,1959-10-18
135,1957-06-08
136,1988-09-10
137,2005-06-11
138,1953-06-06
139,2003-08-30
140,2002-10-03
141,1968-08-10
142,1999-10-15
143,2002-09-04
144,2001-06-12
145,2017-09-10
146,2005-10-05
147,2005-07-10
148,1973-06-07
149,1999-09-15
150,2005-09-20
151,1995-06-05
152,2003-07-25
153,2004-09-13
154,1964-06-06
155,1973-06-23
156,2005-09-12
157,2012-06-23
158,1961-09-11
159,1990-05-25
160,2017-06-21
161,1975-06-27
162,1959-06-18
163,2004-09-05
164,1987-10-12
165,1995-07-27
166,1964-10-14
167,1970-08-06
168,1969-10-01
169,1996-10-08
170,1968-08-28
171,1956-10-15
172,1975-09-23
173,1970-09-13
174,1975-10-16
175,1990-10-09
176,2005-10-24
177,1950-08-31
178,2000-10-03
179,2002-10-11
180,1983-08-28
181,1960-07-29
182,1950-10-21
183,1995-08-02
184,1956-09-24
185,2016-09-01
186,1993-06-01
187,1987-09-07
188,2012-05-28
189,1995-08-23
190,1969-08-18
191,2001-09-14
192,2000-08-23
193,1974-10-07
194,1986-08-13
195,1977-08-27
196,2008-07-16
197,1996-07-11
198,1988-09-04
199,1975-10-01
200,2003-08-14
201,1957-09-08
202,2005-07-06
203,1960-09-15
204,1974-09-27
205,1965-06-15
206,1999-09-21
207,2004-08-13
208,1994-10-02
209,1971-08-10
210,2008-07-22
211,2000-09-18
212,1960-09-10
213,2006-06-13
214,2017-10-29
215,1972-09-05
216,1964-10-05
217,1991-10-16
218,1969-09-21
219,1998-09-20
220,1977-09-05
221,1988-09-13
222,1974-06-25
223,2010-07-23
224,2007-09-22
225,1984-09-09
226,1989-09-22
227,1992-06-25
228,1971-08-29
229,1953-09-20
230,1985-08-15
231,2016-06-06
232,2006-08-30
233,1980-11-18
234,2011-07-18
